bottle:/json,1.35,103.16,195.61,200.07,2551.30,2900.93,3598.59,243.02,20.10,26287,0,0,0
bottle:/remote,113.59,1999.75,2698.59,4401.78,7905.33,8687.70,8687.70,2356.30,20.01,865,0,144,83
bottle:/complete,301.33,2294.70,2898.89,4702.93,8392.21,9999.05,9999.05,2688.14,20.10,789,0,83,57
django:/json,3.73,398.35,406.39,901.26,3587.05,4285.78,4384.50,562.23,20.09,8545,0,0,0
django:/remote,100.93,1700.55,2702.78,5705.81,9805.27,9907.41,9907.41,2498.30,20.01,783,0,128,84
django:/complete,3617.41,7202.24,8599.68,9203.28,9803.12,9803.12,9803.12,7020.70,20.10,50,0,31,23
falcon:/json,1.26,100.53,101.54,195.25,2256.52,2545.96,3398.72,196.13,20.10,33181,0,0,0
falcon:/remote,99.00,2201.82,2989.30,4299.79,8208.87,8403.95,8403.95,2495.63,20.01,853,0,160,89
falcon:/complete,397.10,2303.82,3001.62,5002.71,9495.10,9514.72,9514.72,2645.16,20.10,774,0,159,93
flask:/json,5.78,403.35,499.99,769.23,3406.00,4100.94,4999.99,587.84,20.10,7673,0,0,0
flask:/remote,106.09,1896.36,2610.83,5408.70,9701.51,9999.01,9999.01,2513.80,20.19,772,0,138,97
flask:/complete,505.28,2190.97,3306.34,5595.56,9595.49,9797.72,9797.72,2664.36,20.10,660,0,118,81
pyramid:/json,2.63,207.74,299.53,1601.41,4803.49,5307.31,6599.52,575.98,20.10,12271,0,0,0
pyramid:/remote,192.74,2002.47,2799.35,4499.69,9197.92,9597.67,9597.67,2427.62,20.10,857,0,130,88
pyramid:/complete,497.13,2504.18,3000.32,5002.16,8705.81,9000.63,9000.63,2727.95,20.10,832,0,1,48
responder:/json,503.49,887.20,1507.82,6705.36,8801.64,9008.70,9101.03,1944.81,20.01,2062,0,0,0
responder:/remote,3499.35,7495.99,9201.24,9303.96,9999.32,9999.98,9999.98,7181.98,20.01,349,0,92,95
responder:/complete,0.80,902.05,1103.09,4224.70,7402.33,7402.48,7801.46,1432.60,20.00,2642,2642,2665,0
tornado:/json,96.60,796.79,904.40,1097.13,2296.59,2403.18,3498.47,774.01,20.10,4922,0,0,0
tornado:/remote,2.62,2822.54,4893.88,5597.66,5810.11,5906.19,5907.83,2708.61,20.10,1246,0,0,0
tornado:/complete,310.33,3803.56,5391.79,9306.03,9700.87,9792.02,9792.02,4324.40,20.02,727,0,0,8
weppy:/json,0.19,1.70,1.82,85.09,87.69,2394.70,2394.95,23.91,20.20,2568,0,200,0
wheezy:/json,0.82,98.93,99.89,213.89,3182.61,4401.00,6598.48,261.53,20.11,36731,0,0,0
wheezy:/remote,98.81,1893.72,2702.18,4600.49,8696.62,9288.87,9288.87,2462.01,20.10,820,0,128,89
wheezy:/complete,298.69,2296.33,2797.46,5104.38,9094.96,9798.93,9798.93,2707.13,20.10,816,0,159,71
wsgi:/json,0.30,98.58,99.95,196.20,2897.24,3200.07,3499.42,224.73,20.10,40434,0,0,0
wsgi:/remote,101.99,2106.55,2900.62,5597.95,9201.28,9998.86,9998.86,2545.49,20.10,826,0,160,90
wsgi:/complete,299.82,2001.08,3000.08,5298.44,9294.49,9484.63,9484.63,2605.43,20.01,804,0,143,75
