title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,1.02,102.19,197.47,294.04,6114.36,7076.63,7278.46,364.79,60.08,83328,0,2,0,0,0
falcon,/remote,132.94,2301.95,3001.33,4504.56,9328.87,9928.36,9931.66,2725.23,60.09,1666,0,520,0,0,451
falcon,/complete,699.61,3493.80,3985.40,6160.30,8899.61,9901.78,9990.91,3886.50,60.08,1057,0,1062,0,1057,18
flask,/json,2.49,500.56,601.74,798.42,7186.06,8390.66,8890.61,800.52,60.09,19862,0,0,0,0,2
flask,/remote,514.94,2497.80,3302.08,5000.26,9512.78,9911.35,9914.96,2847.63,60.09,1507,0,472,0,0,440
flask,/complete,995.75,3400.35,4896.25,7301.49,9732.82,9946.55,9946.55,3823.70,60.10,872,0,350,0,0,336
sanic,/json,3.48,300.11,432.10,698.68,7352.14,8193.15,8291.59,620.45,60.08,32408,0,0,0,0,3
sanic,/remote,2.27,2502.73,3096.41,3401.57,4200.07,4901.78,4996.74,2547.30,60.10,4561,0,0,0,0,0
sanic,/complete,497.01,6103.14,6599.35,6996.03,7799.89,9272.10,9873.97,5246.66,60.09,1869,0,0,0,0,200
starlette,/json,0.17,300.37,497.00,3222.42,8622.07,9096.00,9096.37,943.74,60.09,25433,0,200,0,0,6
starlette,/remote,2.18,2404.88,3000.06,3601.41,4495.89,6596.56,9999.98,2455.05,60.09,3597,0,200,0,0,100
starlette,/complete,4.17,4024.25,6691.87,7198.74,9325.26,9999.22,9999.22,3818.12,60.09,1193,0,200,0,0,295
