title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.57,98.30,99.24,100.62,2851.93,3741.49,6503.17,151.68,60.09,139455,0,0,0,0,0
falcon,/remote,14.78,2299.61,2901.43,5503.42,9704.95,9999.81,9999.94,2773.14,60.08,2813,0,525,0,0,276
falcon,/complete,602.17,2097.33,2403.39,3096.86,5506.43,8301.07,8808.08,2286.64,60.09,1822,0,1844,0,1822,11
flask,/json,2.90,301.01,394.87,399.68,4047.36,5091.42,7100.16,429.91,60.10,34671,0,0,0,0,0
flask,/remote,96.88,2302.07,2799.33,4906.77,9003.38,9897.12,9996.22,2671.37,60.08,2426,0,560,0,0,370
flask,/complete,699.28,2500.16,3299.55,5299.09,9498.52,9893.53,9993.81,2938.23,60.08,1533,0,448,0,0,416
sanic,/json,5.15,201.69,297.57,305.46,4403.95,5294.26,6804.11,338.55,60.09,54018,0,0,0,0,0
sanic,/remote,501.93,1399.25,2004.42,2401.03,4395.54,7899.41,8398.95,1600.93,60.09,7540,0,0,0,0,0
sanic,/complete,202.98,3903.37,4287.70,6305.50,8002.80,8704.13,9204.17,3713.72,60.08,3016,0,0,0,0,45
starlette,/json,0.22,200.10,204.15,396.62,5125.94,5617.12,6998.59,456.00,60.10,49081,0,200,0,0,0
starlette,/remote,100.52,1497.00,1900.69,2896.06,3798.44,7998.47,8201.81,1683.26,60.09,6438,0,375,0,0,0
starlette,/complete,202.96,4095.83,5398.47,6001.15,8534.56,9902.34,9906.51,3739.28,60.08,2558,0,263,0,0,105
