title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.09,99.89,199.77,199.90,399.92,998.99,1500.46,137.18,60.30,90403,0,0,0,0,0
falcon,/remote,97.39,1999.91,2494.67,4502.12,8407.29,9901.11,9999.81,2304.58,60.02,4527,0,607,0,0,102
falcon,/complete,205.22,1095.61,1195.12,1395.94,3096.01,8202.67,9299.78,1160.70,60.06,3705,0,3716,0,3705,9
flask,/json,0.28,99.89,199.74,199.91,399.83,599.42,1200.06,136.79,60.40,89306,0,0,0,0,0
flask,/remote,98.69,1903.68,2510.38,3802.25,8104.57,9704.58,9793.63,2174.88,60.11,4292,0,633,0,0,146
flask,/complete,311.21,2003.27,2791.09,5099.70,9704.88,9983.95,9990.36,2555.43,60.00,3497,0,664,0,0,227
sanic,/json,0.18,99.89,199.79,199.91,2586.47,3558.95,5299.32,190.50,60.30,85743,0,0,0,0,0
sanic,/remote,13.45,1000.42,1099.78,1199.43,4094.44,8392.55,9192.74,1085.64,60.09,7844,0,0,0,0,19
sanic,/complete,299.21,5103.72,5900.26,6397.47,7201.50,8402.62,9598.37,5161.37,60.08,2232,0,0,0,0,0
starlette,/json,0.16,99.89,199.75,199.89,1509.12,2463.90,3299.40,159.67,60.30,89301,0,0,0,0,0
starlette,/remote,19.82,1000.22,1099.41,1197.47,2499.16,7555.98,9096.41,1042.70,60.08,7907,0,0,0,0,32
starlette,/complete,307.60,5100.18,6803.27,7501.85,8504.67,9412.77,9606.93,5324.47,60.08,2141,0,0,0,0,3
