title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout\n
bottle,/json,1.09,97.10,100.34,189.47,2018.46,2379.92,3377.96,155.76,20.02,44719,0,0,0
bottle,/remote,99.05,2007.02,2600.02,4602.93,8805.48,9003.41,9003.41,2293.24,20.03,1032,0,160,0
bottle,/complete,299.93,2091.45,2901.45,4673.02,9865.50,9973.53,9973.53,2579.46,20.03,869,0,150,0
django,/json,3.45,298.22,392.39,1251.04,3341.07,3981.32,4283.64,505.29,20.02,11966,0,0,0
django,/remote,403.08,1997.77,2793.74,4706.36,9201.95,9905.43,9905.43,2435.46,20.02,980,0,167,0
django,/complete,3700.23,7402.04,8499.75,9300.86,9596.52,9596.52,9596.52,6969.27,20.03,53,0,47,0
falcon,/json,0.61,93.06,97.45,99.76,2431.62,2724.67,3383.56,163.44,20.02,62644,0,0,0
falcon,/remote,118.48,2002.51,2591.43,4498.43,8817.07,9523.81,9523.81,2312.64,20.03,1042,0,160,0
falcon,/complete,195.83,2100.54,2809.78,4695.42,9597.63,9993.42,9993.42,2565.22,20.03,923,0,86,0
flask,/json,3.29,299.19,304.92,528.07,3043.70,3593.50,4297.13,434.97,20.02,11644,0,0,0
flask,/remote,504.19,2002.81,2698.76,4803.02,9398.98,9701.46,9701.46,2465.32,20.02,921,0,135,0
flask,/complete,404.92,2199.89,3007.94,5304.37,9803.06,9998.13,9998.13,2712.49,20.03,699,0,70,0
pyramid,/json,2.13,107.15,198.15,1290.65,4498.97,4989.96,6691.49,452.46,20.02,20702,0,0,0
pyramid,/remote,176.40,1798.41,2403.14,4780.99,8793.90,9965.94,9969.34,2366.59,20.03,1061,0,137,0
pyramid,/complete,396.99,2289.74,3101.52,5498.13,9737.26,9966.49,9966.49,2847.95,20.03,784,0,77,0
responder,/json,1.23,1098.25,1300.91,4353.32,7996.49,8202.32,8202.35,1663.23,20.04,2331,0,0,0
responder,/remote,4702.91,6997.32,9294.47,9670.41,9670.88,9671.12,9671.12,7218.89,20.03,444,0,200,0
responder,/complete,103.69,601.16,803.33,1470.74,2479.52,7986.55,8397.58,748.59,20.03,2897,0,2897,0
tornado,/json,85.44,600.26,694.49,703.67,2089.19,2289.53,4686.99,643.88,20.02,5952,0,0,0
tornado,/remote,1533.07,2197.92,2397.83,2598.47,2994.87,3096.11,3099.07,2221.69,20.03,1663,0,0,0
tornado,/complete,577.00,5401.68,5690.78,5797.69,5998.80,6000.13,6000.13,4760.47,20.02,713,0,0,0
weppy,/json,1.51,4.20,84.11,85.70,1990.13,2093.79,2094.04,49.89,20.01,3510,0,200,5202775
wheezy,/json,0.31,89.33,96.24,383.42,3533.24,4254.82,6486.25,255.79,20.02,68320,0,0,0
wheezy,/remote,75.81,2000.53,2598.47,4276.52,8481.28,9876.29,9876.36,2260.04,20.03,1082,0,169,0
wheezy,/complete,399.34,2100.99,2700.48,4168.57,9852.38,9956.83,9956.83,2421.04,20.03,1008,0,1,0
wsgi,/json,0.46,49.47,95.16,99.88,2448.56,2852.90,3590.19,145.12,20.02,81664,0,0,0
wsgi,/remote,124.19,2004.70,2501.81,4295.39,8820.54,8925.66,9019.88,2244.93,20.03,1060,0,168,0
wsgi,/complete,218.33,2103.52,2702.98,4115.46,9506.48,9911.78,9911.78,2354.53,20.03,975,0,90,0
