title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.07,96.96,99.89,133.07,299.77,865.01,1699.64,76.21,60.20,179410,0,0,0,0,0
falcon,/remote,14.62,2000.17,2498.79,4295.98,8694.63,9804.24,9907.42,2321.51,60.10,4385,0,618,0,0,114
falcon,/complete,13.88,812.89,901.30,1002.62,2501.28,7365.43,7406.34,903.98,60.08,4732,0,4738,0,4732,4
flask,/json,1.47,105.86,187.72,192.81,486.68,1312.40,2202.04,140.62,60.10,88468,0,0,0,0,0
flask,/remote,7.89,1906.15,2505.98,4262.51,8202.73,9997.61,9999.43,2262.64,60.08,4402,0,603,0,0,112
flask,/complete,299.27,1987.25,2789.32,4906.18,9395.29,9809.81,9900.19,2472.10,60.05,4173,0,569,0,0,88
sanic,/json,0.22,97.24,101.82,186.38,1760.36,2713.24,3506.86,120.76,60.10,138900,0,0,0,0,0
sanic,/remote,96.48,998.58,1005.67,1101.83,2299.86,7698.41,9494.25,1012.03,60.08,8094,0,0,0,0,25
sanic,/complete,4.75,2179.83,2793.96,3097.47,4802.50,7157.57,9303.16,2097.87,60.08,5647,0,0,0,0,0
starlette,/json,0.15,97.13,101.51,184.46,2877.85,3836.22,6700.02,152.36,60.10,138286,0,0,0,0,0
starlette,/remote,6.67,999.00,1096.39,1102.61,2795.92,7200.93,8797.93,1026.06,60.07,8097,0,0,0,0,29
starlette,/complete,4.83,2101.70,2304.19,2593.18,4204.48,5101.02,6602.80,2119.03,60.07,5570,0,0,0,0,0
