title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.73,200.74,354.12,499.36,872.47,1645.49,7483.54,270.96,60.10,35108,0,2,0,0,128
falcon,/remote,102.00,3299.19,4701.56,6096.70,8896.14,9896.70,9896.70,3777.41,60.09,761,0,353,0,0,342
falcon,/complete,2597.31,6902.61,8269.10,8880.95,9699.55,9900.89,9900.89,6715.17,60.09,409,0,424,0,409,145
flask,/json,3.15,900.91,1299.31,1699.27,3684.06,5503.49,5872.24,1044.00,60.10,7109,0,198,0,0,131
flask,/remote,397.45,3899.29,5199.82,6799.33,8896.68,9798.87,9798.87,4139.98,60.08,638,0,320,0,0,306
flask,/complete,2602.66,4098.91,6600.10,7699.53,8800.44,8803.01,8803.01,4996.87,60.08,361,0,215,0,0,234
sanic,/json,0.20,600.49,997.01,1363.32,2301.37,2402.15,2498.21,672.47,60.10,11725,0,0,0,0,133
sanic,/remote,1499.93,4499.29,7895.42,9401.04,9602.38,9898.65,9902.06,5479.02,60.08,1960,0,0,0,0,125
sanic,/complete,1101.69,7699.28,8599.70,9502.23,9998.21,9999.98,9999.98,6459.27,60.09,852,0,0,0,0,396
starlette,/json,0.25,501.74,897.00,1199.80,2400.73,2499.13,6359.89,638.93,60.02,8215,0,338,0,0,134
starlette,/remote,1.27,100.75,6288.32,8802.70,9101.16,9102.08,9102.08,2468.20,60.03,988,0,400,0,0,532
starlette,/complete,697.27,4003.55,7501.61,8800.72,9600.67,9999.84,9999.84,4582.91,60.08,362,0,400,0,0,215
