title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.72,98.36,99.31,100.66,2717.75,3612.94,6599.74,148.45,60.09,137992,0,0,0,0,0
falcon,/remote,14.22,2197.73,2900.31,4898.16,8697.01,9902.49,9999.12,2595.46,60.09,2674,0,592,0,0,349
falcon,/complete,403.56,2295.02,2600.66,3096.71,5998.65,9687.66,9690.40,2409.19,60.08,1698,0,1705,0,1698,5
flask,/json,2.63,301.70,395.54,400.04,3985.39,4989.56,6694.36,431.43,60.10,34080,0,0,0,0,0
flask,/remote,86.84,2303.76,2893.24,5203.73,9400.50,9898.12,9995.21,2705.51,60.09,2433,0,568,0,0,369
flask,/complete,703.01,2406.30,3198.73,5001.42,8286.51,9896.93,9996.87,2810.52,60.08,1534,0,496,0,0,444
sanic,/json,0.16,201.06,295.71,300.50,3297.42,4197.56,6500.88,292.67,60.08,53551,0,0,0,0,0
sanic,/remote,699.32,1598.69,1902.02,2102.09,2601.31,2896.11,3000.84,1635.49,60.08,7227,0,0,0,0,0
sanic,/complete,3.88,1700.88,6506.92,6899.35,7302.30,7997.48,7998.02,3464.29,60.08,2918,0,0,0,0,96
starlette,/json,0.19,200.12,295.87,596.09,5638.43,6295.03,6891.02,519.22,60.09,46511,0,200,0,0,0
starlette,/remote,4.62,1590.41,2298.89,2805.08,6201.08,6390.26,7500.23,1852.11,60.08,5451,0,400,0,0,0
starlette,/complete,4.88,1796.90,6198.85,7389.91,8589.75,9990.11,9997.99,3136.96,60.09,2589,0,200,0,0,152
