title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
bottle,/json,0.76,11.08,93.40,95.23,460.81,1320.66,1661.78,59.00,60.07,237472,0,0,0
bottle,/remote,73.82,1994.03,2597.31,4193.96,8498.85,9792.34,9999.43,2283.72,60.09,4163,0,599,0
bottle,/complete,298.77,2006.78,2601.65,4594.94,8497.09,9590.90,9997.97,2372.77,60.08,3694,0,535,0
django,/json,3.48,194.20,199.13,204.02,1112.94,1808.55,2092.89,192.15,60.08,67756,0,0,0
django,/remote,90.23,1912.55,2602.64,4191.81,8492.51,9781.58,9880.09,2290.99,60.09,4056,0,561,0
django,/complete,3407.93,6296.28,8598.90,8995.99,9793.33,9793.33,9793.33,6518.48,60.09,182,0,175,0
falcon,/json,0.53,51.09,87.31,92.22,138.43,1251.30,1689.23,47.31,60.07,329232,0,0,0
falcon,/remote,93.48,2009.42,2695.83,4590.94,8887.19,9908.27,9996.16,2435.52,60.10,4172,0,512,0
falcon,/complete,294.37,2000.25,2698.42,4599.79,8697.09,9895.43,9904.00,2432.75,60.09,3842,0,544,0
flask,/json,3.12,197.60,201.61,284.41,908.31,1792.84,2086.15,203.67,60.09,61426,0,0,0
flask,/remote,206.20,1895.87,2601.48,4684.69,8956.20,9896.05,9989.81,2358.82,60.09,3979,0,569,0
flask,/complete,302.17,2097.23,2703.22,4695.19,8370.50,9477.11,9997.94,2432.00,60.10,3335,0,542,0
pyramid,/json,1.81,99.00,101.60,184.48,1888.55,2697.67,3492.98,134.39,60.10,120056,0,0,0
pyramid,/remote,53.38,1911.19,2500.76,4590.61,8993.07,9903.61,9999.61,2363.06,60.09,4183,0,695,0
pyramid,/complete,202.52,2097.09,2890.29,5060.50,9095.66,9952.25,9968.76,2587.61,60.09,3580,0,556,0
responder,/json,1.17,693.40,793.26,1098.10,4891.79,5389.54,7474.32,862.33,60.09,14385,0,200,0
responder,/remote,101.75,1007.81,1201.19,1996.03,6538.06,8191.08,8396.50,1295.85,60.09,8248,0,0,0
responder,/complete,18446744073709552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.09,270,0,270,0
starlette,/json,8.01,899.07,1103.24,1211.63,1699.00,2094.99,2099.04,699.05,60.09,17123,0,0,0
starlette,/remote,3.65,996.52,1098.52,1858.44,6287.45,8803.32,9597.21,1216.11,60.09,8173,0,2,0
starlette,/complete,18446744073709552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.10,222,0,222,0
weppy,/json,387.59,619.75,698.24,798.10,1076.49,1090.80,1105.59,661.88,60.08,17933,0,0,0
weppy,/remote,599.61,981.48,1087.33,1202.75,4405.38,8000.34,9395.30,1092.18,60.09,8291,0,0,0
weppy,/complete,18446744073709552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.09,219,0,219,0
wsgi,/json,413.02,605.29,689.52,783.24,1103.60,1105.17,1188.86,636.88,60.09,18759,0,0,0
wsgi,/remote,511.79,997.74,1101.27,1965.28,6761.83,8385.63,8587.95,1267.77,60.09,8460,0,0,0
wsgi,/complete,9052.75,9052.75,9052.75,9052.75,9052.75,9052.75,9052.75,9052.75,60.09,242,0,242,0
