bottle:/json,0.89,11.71,92.30,95.22,532.55,827.75,891.68,57.68,20.18,80985,0,0,0
bottle:/remote,412.21,2185.72,2999.18,6083.87,9687.41,9888.32,9888.32,2886.04,20.09,773,0,97,75
bottle:/complete,318.02,2193.02,3781.43,5204.07,9882.27,9987.03,9987.03,2761.17,20.04,838,0,158,53
django:/json,3.64,108.68,190.47,196.57,1067.38,1760.01,1860.64,168.48,20.08,26498,0,0,0
django:/remote,92.71,2001.90,2800.63,5204.25,8497.00,9190.64,9190.64,2337.66,20.10,928,0,97,88
django:/complete,3114.84,6699.06,8198.56,9296.77,9896.77,9896.77,9896.77,6426.90,20.04,51,0,46,29
falcon:/json,0.23,50.59,87.51,92.36,241.55,615.21,894.03,45.31,20.10,108399,0,0,0
falcon:/remote,11.23,2088.37,2617.00,4808.14,8197.13,8897.95,8897.95,2306.68,20.03,974,0,97,88
falcon:/complete,403.56,2000.15,2800.37,5300.93,8689.46,9381.80,9381.80,2458.30,20.04,780,0,128,96
flask:/json,3.43,188.93,194.38,199.99,738.41,1109.84,1809.09,170.72,20.10,24294,0,0,0
flask:/remote,108.14,1902.05,2707.06,6190.56,9592.88,9995.37,9995.37,2601.66,20.10,893,0,144,70
flask:/complete,305.74,2093.82,2789.28,4903.65,9493.92,9796.51,9796.51,2578.58,20.10,831,0,69,66
pyramid:/json,1.82,95.76,98.50,102.72,1543.03,1918.57,3501.08,129.27,20.10,45137,0,0,0
pyramid:/remote,10.58,1795.42,2713.44,6226.06,9394.43,9986.46,9986.46,2530.20,20.10,959,0,161,76
pyramid:/complete,293.47,2004.18,2904.93,4895.37,9793.66,9993.82,9993.82,2603.44,20.10,867,0,158,63
responder:/json,197.72,395.52,474.65,906.24,3997.58,4849.10,6910.00,606.71,20.09,7876,0,0,0
responder:/remote,1612.40,3890.52,4592.05,5006.23,5298.99,7296.80,7296.80,3784.80,20.10,707,0,283,0
responder:/complete,11.67,308.50,405.88,500.61,784.32,808.80,814.51,343.31,20.10,9752,9752,9745,0
tornado:/json,85.10,300.57,388.15,398.55,493.56,499.17,502.86,305.36,20.10,12773,0,0,0
tornado:/remote,2.17,1990.04,2001.69,2091.03,2203.22,2305.58,5306.53,1641.06,20.04,2286,0,0,0
tornado:/complete,280.44,3595.98,3994.40,4189.91,4306.78,4399.31,7694.58,3382.82,20.04,1049,0,0,1
weppy:/json,18446744073709552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0,0,129,0
wheezy:/json,0.13,6.29,85.37,91.78,603.71,974.52,1702.30,48.97,20.10,122866,0,0,0
wheezy:/remote,177.17,1908.81,2894.66,5206.25,9013.25,9210.70,9210.70,2352.90,20.05,944,0,144,82
wheezy:/complete,301.31,2107.01,2793.88,4491.85,9295.09,9695.83,9695.83,2424.06,20.09,925,0,151,81
wsgi:/json,0.06,7.15,67.22,93.41,408.37,798.24,993.75,45.07,20.12,124761,0,0,0
wsgi:/remote,92.90,1803.45,2698.84,5800.88,9805.31,9998.28,9998.28,2562.44,20.04,984,0,168,60
wsgi:/complete,403.09,1999.61,3198.92,4804.21,9087.80,9296.01,9296.01,2542.29,20.04,841,0,72,66
