title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.07,98.95,99.89,159.72,299.94,1003.87,1798.49,80.31,60.30,172080,0,0,0,0,0
falcon,/remote,15.35,2090.05,2604.44,4004.29,8203.84,9905.09,9999.48,2288.34,60.05,4299,0,523,0,0,125
falcon,/complete,98.83,995.16,1098.24,1201.64,3986.13,7600.59,8594.03,1059.42,60.09,3993,0,4005,0,3993,6
flask,/json,1.53,187.67,195.38,199.23,592.26,1408.00,1702.92,163.24,60.01,75841,0,0,0,0,0
flask,/remote,5.59,2012.23,2689.52,4614.42,9006.22,9989.57,9999.94,2417.69,60.08,4330,0,600,0,0,93
flask,/complete,410.86,2201.27,3092.39,5505.57,8902.82,9992.94,9999.61,2766.20,60.03,3361,0,544,0,0,166
sanic,/json,0.67,99.35,104.96,192.76,1190.66,2118.32,3510.43,123.41,60.01,116221,0,0,0,0,0
sanic,/remote,99.02,999.53,1012.68,1101.27,2096.14,7595.41,9901.14,1017.07,60.09,8043,0,0,0,0,15
sanic,/complete,11.64,1793.65,2502.45,2956.98,5661.84,9199.74,9683.41,1968.04,60.08,6284,0,0,0,0,1
starlette,/json,0.14,98.56,103.77,190.29,1488.15,2323.26,2500.37,126.70,60.10,115695,0,126,0,0,0
starlette,/remote,202.02,1000.20,1099.43,1195.53,4001.32,9391.76,9895.70,1079.23,60.08,7814,0,0,0,0,31
starlette,/complete,108.89,1586.72,3087.31,3689.12,6995.85,9003.39,9100.04,2076.82,60.08,6035,0,0,0,0,5
