title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
falcon,/json,0.73,100.77,196.86,201.82,5238.85,6160.35,6605.05,307.04,60.01,87658,0,0,0,0,0
falcon,/remote,198.58,2400.12,3100.53,4796.05,9002.49,9804.96,9902.85,2741.74,60.08,1698,0,544,0,0,458
falcon,/complete,997.10,3301.26,3635.00,4800.52,8397.57,9686.27,9697.22,3521.41,60.09,1153,0,1164,0,1153,8
flask,/json,3.03,499.37,601.57,800.53,6533.81,7703.05,8003.21,753.18,60.09,21054,0,2,0,0,0
flask,/remote,5.24,2497.05,3396.93,4600.81,9501.72,9900.91,9903.53,2783.56,60.08,1532,0,457,0,0,439
flask,/complete,1404.25,3101.69,4801.11,6499.52,8700.27,9501.74,9501.74,3650.88,60.08,954,0,351,0,0,360
sanic,/json,0.19,300.24,401.57,599.80,5910.48,6802.50,7099.14,527.82,60.10,34762,0,0,0,0,0
sanic,/remote,4.66,2401.70,2995.65,3401.53,4497.23,4798.51,4801.79,2512.00,60.09,4663,0,0,0,0,0
sanic,/complete,403.69,3903.19,7896.07,9101.09,9799.89,9998.19,9998.26,4879.25,60.09,1912,0,0,0,0,224
starlette,/json,0.16,299.91,501.80,2019.61,7394.81,8198.65,8299.50,803.47,60.03,26863,0,200,0,0,4
starlette,/remote,902.26,2406.60,3199.12,4396.72,6799.81,7600.47,7601.45,2773.33,60.07,3986,0,324,0,0,0
starlette,/complete,298.76,5902.07,6205.63,6902.20,9307.08,9799.51,9799.56,4924.94,60.08,1797,0,139,0,0,171
